Time	dt	Velocity Autocorrelation Function	Velocity Autocorrelation Function delta	Diffusivity	Diffusivity delta
0.0542719203	0.0049225158	0.8613191843	0.0289798379	0.0271639507	0.0154031847
0.0591944361	0.0026250920	0.8578302860	0.0298886895	0.0282921810	0.0176527308
0.0618195281	0.0010516109	0.8527049422	0.0339671969	0.0287418850	0.0152121798
0.0628711389	0.0012962349	0.8505750895	0.0353363156	0.0292938482	0.0153998446
0.0641673739	0.0000318577	0.8497049212	0.0336020589	0.0293073896	0.0140401952
0.0641992316	0.0010423461	0.8359004855	0.0423060060	0.0297466367	0.0130913201
0.0652415777	0.0025336262	0.8348125219	0.0369204283	0.0308048762	0.0146925826
0.0677752039	0.0035798963	0.8380500078	0.0340718031	0.0323020443	0.0174164231
0.0713551002	0.0013720691	0.8275674582	0.0337517262	0.0328733809	0.0156582806
0.0727271693	0.0005459082	0.8263858557	0.0349333286	0.0330991074	0.0118703155
0.0732730776	0.0018927386	0.8263334632	0.0314968228	0.0338811502	0.0111779355
0.0751658161	0.0002670983	0.8262290359	0.0264759064	0.0339914970	0.0104992251
0.0754329144	0.0007339879	0.8213827610	0.0291923285	0.0342938304	0.0099999632
0.0761669023	0.0027741668	0.8159708977	0.0337340236	0.0354294032	0.0122440257
0.0789410691	0.0014229706	0.8152663708	0.0227836370	0.0360097028	0.0125261349
0.0803640397	0.0011078842	0.8142974973	0.0237525105	0.0364610441	0.0113123379
0.0814719239	0.0013129391	0.8078637123	0.0301862955	0.0369934961	0.0093829001
0.0827848630	0.0004424133	0.8067830801	0.0207843781	0.0371720791	0.0085973996
0.0832272763	0.0048393248	0.8060375452	0.0203483105	0.0391233228	0.0120484277
0.0880666012	0.0022908661	0.8060316443	0.0203018188	0.0400465801	0.0123308621
0.0903574672	0.0017119755	0.8054717779	0.0207572579	0.0407362953	0.0134895910
0.0920694427	0.0010882379	0.8030245900	0.0183581710	0.0411739014	0.0137601408
0.0931576807	0.0006389185	0.7988280654	0.0171428323	0.0414297655	0.0120007213
0.0937965991	0.0004089982	0.7981079817	0.0171583891	0.0415930487	0.0111666920
0.0942055974	0.0013255341	0.7959215641	0.0183759332	0.0421212837	0.0113204782
0.0955311315	0.0014885402	0.7954652309	0.0123984814	0.0427134968	0.0114400004
0.0970196717	0.0007078980	0.7945065498	0.0122765303	0.0429948792	0.0116455987
0.0977275697	0.0005821689	0.7940683961	0.0119691491	0.0432260856	0.0082055267
0.0983097385	0.0016467013	0.7899532914	0.0160783529	0.0438781865	0.0076632147
0.0999564398	0.0023222634	0.7847379446	0.0207338333	0.0447923988	0.0081122114
0.1022787032	0.0008903112	0.7813931704	0.0216314197	0.0451409854	0.0079341700
0.1031690143	0.0000116679	0.7822080255	0.0174348950	0.0451455452	0.0074315654
0.1031806822	0.0000223101	0.7749925256	0.0231154561	0.0451542325	0.0071223640
0.1032029923	0.0006144977	0.7756702304	0.0209290385	0.0453924499	0.0065423331
0.1038174900	0.0015816843	0.7710618377	0.0244033933	0.0460040607	0.0065811324
0.1053991743	0.0022208845	0.7703644037	0.0241421461	0.0468598939	0.0077300283
0.1076200589	0.0021054245	0.7685294151	0.0255389810	0.0476699024	0.0088876313
0.1097254834	0.0001996385	0.7654659152	0.0244873762	0.0477464609	0.0077365482
0.1099251218	0.0011123162	0.7630007863	0.0217371583	0.0481714979	0.0067581934
0.1110374380	0.0001540113	0.7528261542	0.0293818712	0.0482298583	0.0061777487
0.1111914493	0.0009730045	0.7488240004	0.0333840251	0.0485951379	0.0068991829
0.1121644538	0.0010725296	0.7485402822	0.0271299481	0.0489966311	0.0076847960
0.1132369833	0.0004030597	0.7452206016	0.0304496288	0.0491471477	0.0075093940
0.1136400430	0.0008058734	0.7392309904	0.0318308473	0.0494462177	0.0068843131
0.1144459164	0.0007039289	0.7407021523	0.0311334133	0.0497066602	0.0056935321
0.1151498453	0.0008975485	0.7386984825	0.0298309326	0.0500386208	0.0047374367
0.1160473938	0.0003796783	0.7419636250	0.0267674327	0.0501791611	0.0048654021
0.1164270722	0.0002412433	0.7416839600	0.0243023038	0.0502686426	0.0041942930
0.1166683155	0.0005838527	0.7404198050	0.0141276717	0.0504849739	0.0045102309
0.1172521681	0.0016400170	0.7410427928	0.0101255178	0.0510923825	0.0049944867
0.1188921851	0.0004620915	0.7407457829	0.0098417997	0.0512635633	0.0045338639
0.1193542766	0.0030975325	0.7367858887	0.0084347129	0.0524077378	0.0065211776
0.1224518091	0.0007314987	0.7360391617	0.0059244633	0.0526770800	0.0064617225
0.1231833078	0.0011717459	0.7293730974	0.0125905275	0.0531063527	0.0067993840
0.1243550537	0.0033667181	0.7293877602	0.0125905275	0.0543341599	0.0085910854
0.1277217718	0.0004895246	0.7268374562	0.0151261687	0.0545123778	0.0086664267
0.1282112965	0.0033443072	0.7260957956	0.0155881643	0.0557271391	0.0109169943
0.1315556037	0.0055126914	0.7215701938	0.0194725990	0.0577222742	0.0144745971
0.1370682950	0.0004252831	0.7213281989	0.0197145939	0.0578756854	0.0135666053
0.1374935781	0.0016010479	0.7174484134	0.0232973695	0.0584515706	0.0143760195
0.1390946260	0.0000354688	0.7161853313	0.0206005573	0.0584642850	0.0121130929
0.1391300948	0.0006569426	0.7131572366	0.0228819251	0.0586990342	0.0120439061
0.1397870374	0.0016451653	0.7024103403	0.0269774199	0.0592812449	0.0123497821
0.1414322028	0.0008247173	0.7013306022	0.0280571580	0.0595706664	0.0104730085
0.1422569200	0.0015686459	0.6950848699	0.0317525864	0.0601182878	0.0112118201
0.1438255659	0.0022763467	0.6922410131	0.0338547826	0.0609077960	0.0103613099
0.1461019126	0.0034507800	0.6863046288	0.0352655649	0.0620970577	0.0087495709
0.1495526926	0.0007728721	0.6857861876	0.0355420113	0.0623621717	0.0089729761
0.1503255647	0.0021425072	0.6826070547	0.0348413587	0.0630951226	0.0092870972
0.1524680719	0.0004255285	0.6795309186	0.0366544127	0.0632400289	0.0095514868
0.1528936004	0.0019863171	0.6790452600	0.0341119766	0.0639146715	0.0104312703
0.1548799175	0.0007841535	0.6762835979	0.0261267424	0.0641803667	0.0097982419
0.1556640710	0.0014761351	0.6747627258	0.0265678763	0.0646789446	0.0102165607
0.1571402062	0.0011611681	0.6735202074	0.0215646625	0.0650703385	0.0099041116
0.1583013743	0.0006332539	0.6691160798	0.0231249332	0.0652828962	0.0087502090
0.1589346281	0.0005949839	0.6690665483	0.0172380805	0.0654819459	0.0067697787
0.1595296121	0.0011724026	0.6641130447	0.0216731429	0.0658727065	0.0070210650
0.1607020147	0.0002478902	0.6635083556	0.0190986991	0.0659549832	0.0057197210
0.1609499049	0.0010314618	0.6609181166	0.0186128020	0.0662965029	0.0061129544
0.1619813667	0.0002528700	0.6597693563	0.0192759037	0.0663799942	0.0049306539
0.1622342367	0.0011204062	0.6591359973	0.0171476007	0.0667494237	0.0051381158
0.1633546428	0.0003587546	0.6588584781	0.0159042478	0.0668676347	0.0043773706
0.1637133974	0.0023662195	0.6532626152	0.0202575922	0.0676438212	0.0051469623
0.1660796169	0.0000103513	0.6533945203	0.0158534646	0.0676472038	0.0047286103
0.1660899682	0.0044938713	0.6518671513	0.0171993971	0.0691136271	0.0072633507
0.1705838395	0.0005080774	0.6489183307	0.0151947141	0.0692788512	0.0068122889
0.1710919169	0.0001970771	0.6475829482	0.0159254074	0.0693427250	0.0067754921
0.1712889939	0.0010538977	0.6507275701	0.0133351684	0.0696847960	0.0067765876
0.1723428916	0.0003488446	0.6505040526	0.0121864080	0.0697982833	0.0068365704
0.1726917362	0.0000737275	0.6500288248	0.0115530491	0.0698222518	0.0061456580
0.1727654637	0.0004126894	0.6502447724	0.0112755299	0.0699564070	0.0061775443
0.1731781532	0.0030231993	0.6458164454	0.0075780749	0.0709359646	0.0065842868
0.1762013525	0.0001803860	0.6424592137	0.0109353065	0.0709940642	0.0066937175
0.1763817385	0.0011859257	0.6392997503	0.0125674009	0.0713740811	0.0045209139
0.1775676642	0.0031596701	0.6361451745	0.0145823956	0.0723815784	0.0062054567
0.1807273343	0.0027406440	0.6353045702	0.0154229999	0.0732527226	0.0078199969
0.1834679783	0.0000311636	0.6322645545	0.0184630156	0.0732626021	0.0071556047
0.1834991419	0.0005622573	0.6267758608	0.0237281919	0.0734395757	0.0072825932
0.1840613992	0.0011209656	0.6250067949	0.0252379775	0.0737903789	0.0079362533
0.1851823647	0.0007792417	0.6233876944	0.0268570781	0.0740335807	0.0081543492
0.1859616065	0.0005439485	0.6225251555	0.0232912898	0.0742030069	0.0065340797
0.1865055550	0.0000497463	0.6193544865	0.0231047273	0.0742184520	0.0064487758
0.1865553013	0.0008251743	0.6190584302	0.0202413201	0.0744739249	0.0061996936
0.1873804756	0.0039659905	0.6088476777	0.0272974968	0.0756913945	0.0066196330
0.1913464661	0.0010331222	0.6064729095	0.0288316607	0.0760052875	0.0055051247
0.1923795883	0.0023273569	0.5987312198	0.0335333347	0.0767065212	0.0068878438
0.1947069451	0.0008067268	0.5924388170	0.0343370438	0.0769467577	0.0070143659
0.1955136719	0.0010752259	0.5924862623	0.0325679779	0.0772652775	0.0069497943
0.1965888978	0.0006889917	0.5881025195	0.0352851748	0.0774686262	0.0068701017
0.1972778895	0.0013790059	0.5824024677	0.0401226878	0.0778721645	0.0073383122
0.1986568955	0.0013293470	0.5834550261	0.0369520187	0.0782596171	0.0080823373
0.1999862425	0.0019099692	0.5811127424	0.0379456878	0.0788156912	0.0086835283
0.2018962117	0.0010576610	0.5809668303	0.0278808475	0.0791229606	0.0068631394
0.2029538727	0.0013447326	0.5797991753	0.0266737342	0.0795131922	0.0070158121
0.2042986053	0.0005707926	0.5803956985	0.0189320445	0.0796787515	0.0059444573
0.2048693979	0.0020678857	0.5797572136	0.0127290487	0.0802785158	0.0066635147
0.2069372836	0.0043140611	0.5807868838	0.0127290487	0.0815301836	0.0085298128
0.2112513447	0.0016357293	0.5730461478	0.0150563717	0.0820020214	0.0090667841
0.2128870740	0.0032023460	0.5730335712	0.0104214549	0.0829195604	0.0100947893
0.2160894200	0.0023497961	0.5733526349	0.0104214549	0.0835930035	0.0106667616
0.2184392161	0.0006767404	0.5732924938	0.0080791712	0.0837869942	0.0099426079
0.2191159565	0.0039089159	0.5693564415	0.0116103888	0.0849036276	0.0115613240
0.2230248723	0.0023219433	0.5635653138	0.0172215700	0.0855612680	0.0120961541
0.2253468157	0.0029389035	0.5647307634	0.0172215700	0.0863902569	0.0134230155
0.2282857192	0.0000269234	0.5614408851	0.0193459988	0.0863978416	0.0122386438
0.2283126426	0.0026065825	0.5575764775	0.0232104063	0.0871270448	0.0111937203
0.2309192250	0.0014059588	0.5573425293	0.0160101056	0.0875189230	0.0110338061
0.2323251839	0.0007387561	0.5536168814	0.0197357535	0.0877241045	0.0096090983
0.2330639400	0.0005055355	0.5512121320	0.0221405029	0.0878637359	0.0085414765
0.2335694754	0.0001967348	0.5511584282	0.0221340656	0.0879179612	0.0082619233
0.2337662103	0.0016694352	0.5529716611	0.0181980133	0.0883787796	0.0069503008
0.2354356455	0.0020482412	0.5482738018	0.0164569616	0.0889426768	0.0067628190
0.2374838867	0.0002006819	0.5443795323	0.0203512311	0.0889974982	0.0052144802
0.2376845686	0.0010124516	0.5440608263	0.0173800588	0.0892729983	0.0057503166
0.2386970203	0.0035369708	0.5443478227	0.0135156512	0.0902354121	0.0062167459
0.2422339911	0.0002640993	0.5388157964	0.0185267329	0.0903069302	0.0055760121
0.2424980903	0.0001056759	0.5382290483	0.0153878331	0.0903353840	0.0052225570
0.2426037662	0.0003056965	0.5336493254	0.0193223357	0.0904173031	0.0051071266
0.2429094628	0.0008880140	0.5335838199	0.0193878412	0.0906542316	0.0054725483
0.2437974768	0.0012360610	0.5324929953	0.0204786658	0.0909836665	0.0052097794
0.2450335378	0.0000560325	0.5317202806	0.0165535212	0.0909985751	0.0041117865
0.2450895703	0.0017060218	0.5304597020	0.0139198303	0.0914516002	0.0049081997
0.2467955921	0.0003138866	0.5301052928	0.0142425299	0.0915348232	0.0045236517
0.2471094787	0.0002183657	0.5290225148	0.0153253078	0.0915926397	0.0027144555
0.2473278444	0.0043191073	0.5284779668	0.0103378296	0.0927345082	0.0048551531
0.2516469517	0.0001094586	0.5299383402	0.0097510815	0.0927634686	0.0048561707
0.2517564103	0.0031599142	0.5269975662	0.0066517591	0.0935984254	0.0063622493
0.2549163244	0.0004434081	0.5274904370	0.0065862536	0.0937153175	0.0061221745
0.2553597325	0.0001131995	0.5260406733	0.0064523220	0.0937451348	0.0055229362
0.2554729321	0.0004414614	0.5261808634	0.0056796074	0.0938612595	0.0057253785
0.2559143935	0.0000079583	0.5272283554	0.0044190288	0.0938633606	0.0048235191
0.2559223518	0.0022649956	0.5258632898	0.0042420030	0.0944596678	0.0058496945
0.2581873474	0.0005274957	0.5273782015	0.0040750504	0.0945985690	0.0060118461
0.2587148431	0.0000063682	0.5253031850	0.0046351552	0.0946002379	0.0037314689
0.2587212113	0.0000670615	0.5212597251	0.0086786151	0.0946177840	0.0037086346
0.2587882728	0.0051537300	0.5201999545	0.0072904825	0.0959596410	0.0047224222
0.2639420028	0.0011822456	0.5187690854	0.0087213516	0.0962667167	0.0051027962
0.2651242485	0.0015182691	0.5211595893	0.0086091161	0.0966614410	0.0058326124
0.2666425176	0.0019167858	0.5145937800	0.0127844214	0.0971577689	0.0065930135
0.2685593034	0.0014957705	0.5128146410	0.0145635605	0.0975419581	0.0073572054
0.2700550739	0.0005817381	0.5122055411	0.0151726604	0.0976910368	0.0064627281
0.2706368120	0.0014831340	0.5124893785	0.0151726604	0.0980709717	0.0069448179
0.2721199460	0.0003288179	0.5120404959	0.0132626891	0.0981551930	0.0071099079
0.2724487639	0.0002395275	0.5113578439	0.0099018812	0.0982164815	0.0071973819
0.2726882914	0.0098246530	0.5111321211	0.0100274682	0.1007278785	0.0095364854
0.2825129444	0.0049299581	0.5108485222	0.0103110671	0.1019874588	0.0114414880
0.2874429024	0.0019193303	0.5095890760	0.0115705132	0.1024771035	0.0116313205
0.2893622327	0.0006668722	0.5062417388	0.0083520412	0.1026464552	0.0109773765
0.2900291048	0.0005022313	0.5064599514	0.0065729022	0.1027736068	0.0104632982
0.2905313362	0.0005223976	0.5045475960	0.0079417825	0.1029056460	0.0104292255
0.2910537338	0.0003880647	0.5055757165	0.0079417825	0.1030036435	0.0098653421
0.2914417985	0.0001110130	0.5055714846	0.0074928999	0.1030317098	0.0097530255
0.2915528114	0.0001571022	0.5111389756	0.0068102479	0.1030716375	0.0097103232
0.2917099136	0.0009480108	0.5113982558	0.0068506598	0.1033139825	0.0051722068
0.2926579244	0.0000073205	0.5059186220	0.0068506598	0.1033158451	0.0026567696
0.2926652449	0.0004525265	0.4996014833	0.0117967725	0.1034296006	0.0019050034
0.2931177714	0.0002055915	0.4984299242	0.0129683316	0.1034808978	0.0016688822
0.2933233629	0.0017229487	0.4998252690	0.0129683316	0.1039108858	0.0022745482
0.2950463116	0.0011530849	0.4995197058	0.0129683316	0.1041989699	0.0025866390
0.2961993965	0.0021207445	0.4959417880	0.0154564679	0.1047267467	0.0034462022
0.2983201410	0.0005495149	0.4964824617	0.0154564679	0.1048630849	0.0036627529
0.2988696559	0.0009087793	0.4958955348	0.0155027211	0.1050885469	0.0040338154
0.2997784352	0.0002102681	0.4945664704	0.0168317854	0.1051406115	0.0036532585
0.2999887032	0.0003520114	0.4921383858	0.0137802362	0.1052274480	0.0038232006
0.3003407147	0.0010015271	0.4903598428	0.0094654262	0.1054734439	0.0040876877
0.3013422418	0.0010377826	0.4887096286	0.0111156404	0.1057274640	0.0044931249
0.3023800244	0.0020265111	0.4871345162	0.0126907527	0.1062218472	0.0046219332
0.3044065355	0.0016415389	0.4867296219	0.0127900839	0.1066215113	0.0048450863
0.3060480744	0.0013064833	0.4852450192	0.0112374425	0.1069389805	0.0044244609
0.3073545577	0.0023947264	0.4806498289	0.0158326328	0.1075172424	0.0053083119
0.3097492841	0.0030259097	0.4774170518	0.0184784830	0.1082419977	0.0063068975
0.3127751938	0.0015296469	0.4728063643	0.0217601061	0.1086053699	0.0069295194
0.3143048407	0.0001007046	0.4704885781	0.0216498077	0.1086291224	0.0068033508
0.3144055453	0.0029002875	0.4691076279	0.0212522149	0.1093103960	0.0076739011
0.3173058328	0.0002541727	0.4680912793	0.0206183493	0.1093699485	0.0072849756
0.3175600056	0.0027556721	0.4651946127	0.0219399035	0.1100129038	0.0075821111
0.3203156777	0.0002189013	0.4638768733	0.0228527486	0.1100637466	0.0068844806
0.3205345789	0.0024294981	0.4659207463	0.0213681459	0.1106284857	0.0073790171
0.3229640770	0.0012447763	0.4642036855	0.0167729557	0.1109179333	0.0068013885
0.3242088533	0.0012329854	0.4593440890	0.0180729628	0.1112026125	0.0059212371
0.3254418387	0.0001360018	0.4584327638	0.0143736005	0.1112338230	0.0052568936
0.3255778405	0.0000637744	0.4577529728	0.0127356052	0.1112484261	0.0052386111
0.3256416149	0.0007823251	0.4591564536	0.0113546550	0.1114277542	0.0042347221
0.3264239400	0.0027382797	0.4594655037	0.0103383064	0.1120566204	0.0053733389
0.3291622197	0.0008079421	0.4592421651	0.0081677735	0.1122421846	0.0044585553
0.3299701619	0.0008283644	0.4590447247	0.0081677735	0.1124323532	0.0047372059
0.3307985263	0.0003151874	0.4593799710	0.0081677735	0.1125047207	0.0037524731
0.3311137137	0.0008448158	0.4583874941	0.0064507127	0.1126985550	0.0035612469
0.3319585295	0.0002229566	0.4576741457	0.0017913580	0.1127496213	0.0030940074
0.3321814862	0.0001858523	0.4554107785	0.0040547252	0.1127920449	0.0031164472
0.3323673385	0.0007501292	0.4552809000	0.0041846037	0.1129628271	0.0034288009
0.3331174677	0.0005669483	0.4559098780	0.0041846037	0.1130919755	0.0033284393
0.3336844160	0.0002604649	0.4606071711	0.0053262711	0.1131516546	0.0021900776
0.3339448809	0.0009231736	0.4604876041	0.0053262711	0.1133642420	0.0022441115
0.3348680545	0.0011136606	0.4535066187	0.0071005523	0.1136187091	0.0023727130
0.3359817151	0.0011061881	0.4501526654	0.0104545057	0.1138686165	0.0027277836
0.3370879031	0.0004548797	0.4439141452	0.0166930258	0.1139702871	0.0025434579
0.3375427829	0.0037934647	0.4415827990	0.0190243721	0.1148100644	0.0041208875
0.3413362476	0.0008854142	0.4413982630	0.0192089081	0.1150055155	0.0044269401
0.3422216618	0.0016704194	0.4415236712	0.0192089081	0.1153742224	0.0048227968
0.3438920812	0.0007118207	0.4404336512	0.0201735198	0.1155311763	0.0048783955
0.3446039019	0.0002494577	0.4381744862	0.0224326849	0.1155859679	0.0048686230
0.3448533596	0.0006128496	0.4371952415	0.0232923627	0.1157200858	0.0047116928
0.3454662091	0.0013850894	0.4389533997	0.0163113773	0.1160234734	0.0048095253
0.3468512986	0.0007326262	0.4380152822	0.0129574239	0.1161840931	0.0046309618
0.3475839247	0.0032884118	0.4377155304	0.0067189038	0.1169040352	0.0058674971
0.3508723365	0.0027349137	0.4353356063	0.0062471926	0.1175009683	0.0053818062
0.3536072502	0.0004449900	0.4341793060	0.0073443651	0.1175976992	0.0051843669
0.3540522402	0.0003658499	0.4314976633	0.0100260079	0.1176768765	0.0046052959
0.3544180902	0.0005672693	0.4270203710	0.0134132802	0.1177986264	0.0045349036
0.3549853595	0.0013669232	0.4268550873	0.0120983124	0.1180904210	0.0050089069
0.3563522826	0.0013164136	0.4272598624	0.0120983124	0.1183715165	0.0053028562
0.3576686962	0.0017476089	0.4272243977	0.0120983124	0.1187448427	0.0054427362
0.3594163051	0.0006180716	0.4260797501	0.0119355321	0.1188766882	0.0053851926
0.3600343767	0.0002695540	0.4246326387	0.0130828917	0.1189340204	0.0040599674
0.3603039307	0.0036772880	0.4242109060	0.0111247003	0.1197143793	0.0044268287
0.3639812187	0.0006214996	0.4222775996	0.0119017065	0.1198459044	0.0044964121
0.3646027183	0.0004384496	0.4223706126	0.0092200637	0.1199384853	0.0045232260
0.3650411679	0.0002494956	0.4230847955	0.0049822628	0.1199912205	0.0043851892
0.3652906634	0.0010618747	0.4205967486	0.0066631138	0.1202151924	0.0042495402
0.3663525381	0.0011656738	0.4201914072	0.0070684552	0.1204602122	0.0041773982
0.3675182119	0.0007801396	0.4229101539	0.0070329905	0.1206246465	0.0037596146
0.3682983515	0.0005315331	0.4221293032	0.0058883429	0.1207369417	0.0037204962
0.3688298845	0.0016905137	0.4224508703	0.0044412315	0.1210938841	0.0043197269
0.3705203982	0.0003253416	0.4221069515	0.0040194988	0.1211625785	0.0028963908
0.3708457398	0.0038992465	0.4209209085	0.0028933883	0.1219843701	0.0042769314
0.3747449864	0.0014861696	0.4204406142	0.0028933883	0.1222969666	0.0047169665
0.3762311560	0.0005665671	0.4189105928	0.0041742027	0.1224158555	0.0048492722
0.3767977231	0.0001912350	0.4189761579	0.0039995611	0.1224559173	0.0044814468
0.3769889581	0.0010142129	0.4184303880	0.0044797659	0.1226682439	0.0044160587
0.3780031711	0.0021892498	0.4161810577	0.0067290962	0.1231250390	0.0050007768
0.3801924208	0.0007553725	0.4156713486	0.0067795217	0.1232821271	0.0050903728
0.3809477933	0.0002968436	0.4152619839	0.0071888864	0.1233437881	0.0044998142
0.3812446369	0.0018883479	0.4147002101	0.0074067414	0.1237356067	0.0051460580
0.3831329848	0.0034363776	0.4142775238	0.0066433847	0.1244477779	0.0049268115
0.3865693624	0.0014214497	0.4117617607	0.0086788535	0.1247413158	0.0048886952
0.3879908121	0.0007380545	0.4096019566	0.0093742013	0.1248928681	0.0049540263
0.3887288665	0.0018320818	0.4118264019	0.0093742013	0.1252691001	0.0056263717
0.3905609484	0.0012427495	0.4118591547	0.0088284314	0.1255250126	0.0057135348
0.3918036979	0.0006208697	0.4118838012	0.0065791011	0.1256528646	0.0050556669
0.3924245676	0.0012259582	0.4079017341	0.0077696145	0.1259041280	0.0052439991
0.3936505258	0.0002058940	0.4069416821	0.0083203018	0.1259460747	0.0052045562
0.3938564198	0.0003750029	0.4030766785	0.0116235316	0.1260220110	0.0045728071
0.3942314227	0.0009153854	0.4035198689	0.0112008452	0.1262065917	0.0035176402
0.3951468081	0.0002735106	0.4021367729	0.0097470284	0.1262616813	0.0030407314
0.3954203187	0.0002453702	0.4009758234	0.0109079778	0.1263109446	0.0028361557
0.3956656889	0.0006645937	0.4008987844	0.0109850168	0.1264441758	0.0023501542
0.3963302826	0.0003164293	0.4043959081	0.0109850168	0.1265078783	0.0019657461
0.3966467118	0.0005402469	0.4040010273	0.0109850168	0.1266170740	0.0019283946
0.3971869587	0.0005538902	0.4040254056	0.0070029497	0.1267289519	0.0016496621
0.3977408489	0.0024787695	0.4002967179	0.0066449642	0.1272273958	0.0025626410
0.4002196184	0.0023694365	0.4031776488	0.0040991902	0.1277033389	0.0033626522
0.4025890549	0.0005318885	0.4012965858	0.0040991902	0.1278102994	0.0032074241
0.4031209434	0.0002124447	0.4000000656	0.0043958426	0.1278528571	0.0031823619
0.4033333881	0.0033262608	0.3982535899	0.0061423182	0.1285166591	0.0044114318
0.4066596488	0.0004302506	0.3964742720	0.0079216361	0.1286021471	0.0043159375
0.4070898995	0.0017345991	0.3964893222	0.0079216361	0.1289460212	0.0048762651
0.4088244986	0.0004625536	0.3950184584	0.0090069473	0.1290375441	0.0048409555
0.4092870522	0.0009315667	0.3907763064	0.0132490993	0.1292205453	0.0049831867
0.4102186189	0.0006513123	0.3907073140	0.0124703348	0.1293478012	0.0042408171
0.4108699312	0.0011706983	0.3890583515	0.0141192973	0.1295760125	0.0037453615
0.4120406295	0.0016872211	0.3881675899	0.0131289959	0.1299038529	0.0041870922
0.4137278506	0.0029018585	0.3893534243	0.0118324757	0.1304679215	0.0052301046
0.4166297091	0.0036607145	0.3922697306	0.0100860000	0.1311832368	0.0053331542
0.4202904235	0.0005722724	0.3881111145	0.0083782077	0.1312948912	0.0053854834
